time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,4,4,3,1
2026-07-01 00:00:00+00:00,9,4,0,0
2026-07-02 00:00:00+00:00,8,3,0,0
2026-07-03 00:00:00+00:00,15,5,0,0
2026-07-04 00:00:00+00:00,23,10,0,0
2026-07-05 00:00:00+00:00,13,4,0,0
2026-07-06 00:00:00+00:00,14,5,0,0
2026-07-07 00:00:00+00:00,10,5,3,1
2026-07-08 00:00:00+00:00,19,6,2,2
2026-07-09 00:00:00+00:00,9,5,1,1
2026-07-10 00:00:00+00:00,2,2,0,0
2026-07-11 00:00:00+00:00,8,3,1,1
2026-07-12 00:00:00+00:00,14,4,0,0
2026-07-13 00:00:00+00:00,15,10,0,0
