time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,1.0,1.0,6.0,1.0
2024-08-28 00:00:00+00:00,3.0,1.0,,
2024-08-30 00:00:00+00:00,2.0,2.0,,
2024-08-31 00:00:00+00:00,3.0,1.0,,
2024-09-01 00:00:00+00:00,,,2.0,2.0
2024-09-02 00:00:00+00:00,1.0,1.0,,
2024-09-03 00:00:00+00:00,3.0,1.0,2.0,2.0
2024-09-04 00:00:00+00:00,,,1.0,1.0
2024-09-05 00:00:00+00:00,3.0,2.0,7.0,3.0
2024-09-06 00:00:00+00:00,2.0,1.0,5.0,4.0
2024-09-07 00:00:00+00:00,1.0,1.0,,
2024-09-08 00:00:00+00:00,,,2.0,1.0
2024-09-09 00:00:00+00:00,,,1.0,1.0
