time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,2,2,3,3
2026-04-19 00:00:00+00:00,20,8,2,2
2026-04-20 00:00:00+00:00,61,25,2,2
2026-04-21 00:00:00+00:00,40,20,2,2
2026-04-22 00:00:00+00:00,66,23,0,0
2026-04-23 00:00:00+00:00,75,26,0,0
2026-04-24 00:00:00+00:00,65,24,1,1
2026-04-25 00:00:00+00:00,71,26,0,0
2026-04-26 00:00:00+00:00,19,7,0,0
2026-04-27 00:00:00+00:00,14,5,1,1
2026-04-28 00:00:00+00:00,20,5,1,1
2026-04-29 00:00:00+00:00,35,10,3,1
2026-04-30 00:00:00+00:00,36,13,1,1
2026-05-01 00:00:00+00:00,37,9,5,4
