time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-20 00:00:00+00:00,15,2,3.0,3.0
2024-03-21 00:00:00+00:00,2,2,2.0,2.0
2024-03-22 00:00:00+00:00,1,1,,
2024-03-23 00:00:00+00:00,2,2,11.0,4.0
2024-03-24 00:00:00+00:00,1,1,1.0,1.0
2024-03-25 00:00:00+00:00,1,1,4.0,4.0
2024-03-26 00:00:00+00:00,1,1,9.0,5.0
2024-03-27 00:00:00+00:00,6,2,18.0,14.0
2024-03-28 00:00:00+00:00,2,2,12.0,10.0
2024-03-29 00:00:00+00:00,1,1,1.0,1.0
2024-03-30 00:00:00+00:00,2,2,11.0,2.0
2024-03-31 00:00:00+00:00,1,1,7.0,2.0
2024-04-01 00:00:00+00:00,1,1,11.0,3.0
2024-04-02 00:00:00+00:00,6,2,6.0,6.0
