time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-25 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-10-26 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-10-27 00:00:00+00:00,2.0,1.0,,
2024-10-28 00:00:00+00:00,1.0,1.0,,
2024-10-29 00:00:00+00:00,,,2.0,2.0
2024-10-30 00:00:00+00:00,,,1.0,1.0
2024-10-31 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-11-01 00:00:00+00:00,,,1.0,1.0
2024-11-02 00:00:00+00:00,,,3.0,1.0
2024-11-03 00:00:00+00:00,1.0,1.0,,
2024-11-04 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-11-06 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-11-07 00:00:00+00:00,,,4.0,1.0
