time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-26 00:00:00+00:00,6,4,4.0,2.0
2023-03-27 00:00:00+00:00,4,4,20.0,10.0
2023-03-28 00:00:00+00:00,5,4,3.0,3.0
2023-03-29 00:00:00+00:00,5,5,10.0,8.0
2023-03-30 00:00:00+00:00,7,5,12.0,7.0
2023-03-31 00:00:00+00:00,5,4,11.0,6.0
2023-04-01 00:00:00+00:00,3,3,1.0,1.0
2023-04-02 00:00:00+00:00,2,2,3.0,1.0
2023-04-03 00:00:00+00:00,2,2,21.0,10.0
2023-04-04 00:00:00+00:00,3,3,14.0,7.0
2023-04-05 00:00:00+00:00,5,5,29.0,15.0
2023-04-06 00:00:00+00:00,4,4,9.0,4.0
2023-04-07 00:00:00+00:00,2,2,6.0,4.0
2023-04-08 00:00:00+00:00,2,2,,
