time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-28 00:00:00+00:00,7,4,3.0,2.0
2025-04-29 00:00:00+00:00,4,4,8.0,4.0
2025-04-30 00:00:00+00:00,5,3,1.0,1.0
2025-05-01 00:00:00+00:00,4,2,6.0,1.0
2025-05-02 00:00:00+00:00,2,2,1.0,1.0
2025-05-03 00:00:00+00:00,4,3,1.0,1.0
2025-05-04 00:00:00+00:00,5,3,,
2025-05-05 00:00:00+00:00,2,2,,
2025-05-06 00:00:00+00:00,1,1,,
2025-05-07 00:00:00+00:00,7,5,3.0,1.0
2025-05-08 00:00:00+00:00,6,3,1.0,1.0
2025-05-09 00:00:00+00:00,7,4,,
2025-05-10 00:00:00+00:00,1,1,1.0,1.0
2025-05-11 00:00:00+00:00,2,2,,
