time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-16 00:00:00+00:00,1,1,,
2024-04-17 00:00:00+00:00,1,1,1.0,1.0
2024-04-18 00:00:00+00:00,5,2,,
2024-04-19 00:00:00+00:00,2,2,1.0,1.0
2024-04-20 00:00:00+00:00,1,1,,
2024-04-21 00:00:00+00:00,5,2,,
2024-04-22 00:00:00+00:00,2,2,3.0,3.0
2024-04-23 00:00:00+00:00,1,1,9.0,4.0
2024-04-24 00:00:00+00:00,1,1,2.0,2.0
2024-04-25 00:00:00+00:00,5,2,,
2024-04-26 00:00:00+00:00,6,3,2.0,2.0
2024-04-27 00:00:00+00:00,2,2,21.0,1.0
2024-04-28 00:00:00+00:00,1,1,,
2024-04-29 00:00:00+00:00,1,1,3.0,3.0
