time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-12 00:00:00+00:00,8,5,,
2023-02-13 00:00:00+00:00,4,4,10.0,8.0
2023-02-14 00:00:00+00:00,3,2,10.0,6.0
2023-02-15 00:00:00+00:00,5,5,12.0,10.0
2023-02-16 00:00:00+00:00,3,3,21.0,10.0
2023-02-17 00:00:00+00:00,3,3,9.0,6.0
2023-02-18 00:00:00+00:00,2,2,11.0,3.0
2023-02-19 00:00:00+00:00,4,4,,
2023-02-20 00:00:00+00:00,4,4,8.0,7.0
2023-02-21 00:00:00+00:00,4,4,9.0,7.0
2023-02-22 00:00:00+00:00,3,3,17.0,10.0
2023-02-23 00:00:00+00:00,4,3,6.0,3.0
2023-02-24 00:00:00+00:00,5,5,4.0,3.0
2023-02-25 00:00:00+00:00,1,1,,
